model,intervention,label,n,acc,acc_drop,acc_ate,acc_backadj,acc_collider_bias,acc_correlation,acc_det-counterfactual,acc_drop,acc_ett,acc_exp_away,acc_marginal,acc_nde,acc_nie
base,original,original,288,0.6319444444444444,0.0,0.7692307692307693,0.4888888888888889,0.4,0.6666666666666666,0.6923076923076923,0.0,0.8484848484848485,0.4,0.5555555555555556,0.5333333333333333,0.5217391304347826
base,13_remove_every_other_word,del_alt_words,288,0.5243055555555556,0.10763888888888884,0.6410256410256411,0.4666666666666667,0.8,0.46153846153846156,0.5128205128205128,0.10763888888888884,0.5151515151515151,0.4,0.4888888888888889,0.6,0.5652173913043478
base,1_insert_spaces_between_chars_without_whitespace,char_spaces,288,0.5868055555555556,0.04513888888888884,0.6410256410256411,0.6,0.6,0.5384615384615384,0.6410256410256411,0.04513888888888884,0.7272727272727273,0.2,0.5333333333333333,0.4,0.5652173913043478
base,22_insert_incorrect_answer_once_per_sentence,insert_wrong_ans,288,0.5520833333333334,0.07986111111111105,0.6153846153846154,0.37777777777777777,0.4,0.5641025641025641,0.6666666666666666,0.07986111111111105,0.8484848484848485,0.4,0.5111111111111111,0.4666666666666667,0.34782608695652173
base,33_insert_rare_emoji_blocks,emoji_blocks,288,0.4861111111111111,0.14583333333333331,0.41025641025641024,0.5555555555555556,0.2,0.46153846153846156,0.4358974358974359,0.14583333333333331,0.48484848484848486,0.4,0.5333333333333333,0.4,0.6521739130434783
base,34_polarity_decrease_to_not_decrease_flip,polarity_not_dec,288,0.4479166666666667,0.18402777777777773,0.5128205128205128,0.5555555555555556,0.6,0.38461538461538464,0.3076923076923077,0.18402777777777773,0.42424242424242425,0.6,0.4,0.4,0.5652173913043478
base,35_polarity_decrease_to_increase_flip,polarity_increase,288,0.4756944444444444,0.15625,0.38461538461538464,0.4666666666666667,0.6,0.46153846153846156,0.3076923076923077,0.15625,0.7575757575757576,0.6,0.5111111111111111,0.4,0.4782608695652174
base,37_polarity_decrease_to_not_not_decrease_same,polarity_notnot,288,0.5659722222222222,0.06597222222222221,0.5897435897435898,0.4666666666666667,0.4,0.48717948717948717,0.6923076923076923,0.06597222222222221,0.5757575757575758,0.4,0.6,0.6666666666666666,0.5652173913043478
base,62_intervention_word_order,shuffle_words,288,0.5347222222222222,0.09722222222222221,0.5384615384615384,0.5333333333333333,0.0,0.46153846153846156,0.5384615384615384,0.09722222222222221,0.5151515151515151,0.4,0.6,0.6,0.6521739130434783
base,66_set_percentages_to_x,mask_numbers,288,0.5902777777777778,0.04166666666666663,0.5641025641025641,0.5111111111111111,0.2,0.5641025641025641,0.717948717948718,0.04166666666666663,0.8181818181818182,0.2,0.5777777777777777,0.5333333333333333,0.5217391304347826
base,67_replace_scenario_words_with_random_words_corrected,random_words,288,0.5416666666666666,0.09027777777777779,0.6153846153846154,0.4444444444444444,0.2,0.46153846153846156,0.46153846153846156,0.09027777777777779,0.6666666666666666,0.4,0.6444444444444445,0.6666666666666666,0.5217391304347826
base,68_replace_scenario_words_with_consistent_numbers,words_to_nums,288,0.5381944444444444,0.09375,0.5384615384615384,0.4666666666666667,0.6,0.48717948717948717,0.5128205128205128,0.09375,0.6666666666666666,0.6,0.5777777777777777,0.6,0.4782608695652174
base,69_scenario_words_to_random_words_and_percentages_to_x,rand_words+mask_nums,288,0.5625,0.06944444444444442,0.6410256410256411,0.4444444444444444,0.6,0.5384615384615384,0.5641025641025641,0.06944444444444442,0.6060606060606061,0.4,0.6444444444444445,0.5333333333333333,0.5217391304347826
base,70_scenario_words_to_random_words_and_mask_polarity,rand_words+mask_pol,288,0.5416666666666666,0.09027777777777779,0.6666666666666666,0.4666666666666667,0.6,0.5128205128205128,0.5128205128205128,0.09027777777777779,0.5151515151515151,0.4,0.6222222222222222,0.4666666666666667,0.5217391304347826
base,71_scenario_words_to_random_words_and_percentages_to_x_and_mask_polarity,full_ablation,288,0.5069444444444444,0.125,0.5384615384615384,0.4888888888888889,0.8,0.48717948717948717,0.38461538461538464,0.125,0.5151515151515151,0.4,0.5777777777777777,0.5333333333333333,0.5217391304347826
base,74_swap_percentages_within_graph_group_and_invert_answers,swap_pct+inv_ans,288,0.5,0.13194444444444442,0.6153846153846154,0.4888888888888889,0.2,0.48717948717948717,0.2564102564102564,0.13194444444444442,0.6060606060606061,0.6,0.5333333333333333,0.4666666666666667,0.6086956521739131
base,75_swap_percentages_within_graph_group_and_invert_polarity,swap_pct+inv_pol,288,0.5868055555555556,0.04513888888888884,0.6923076923076923,0.4666666666666667,0.2,0.48717948717948717,0.717948717948718,0.04513888888888884,0.7272727272727273,0.4,0.6,0.5333333333333333,0.5217391304347826
base,77_remove_all_filler_words,no_filler,288,0.5520833333333334,0.07986111111111105,0.717948717948718,0.4222222222222222,0.8,0.5128205128205128,0.5641025641025641,0.07986111111111105,0.42424242424242425,0.2,0.6444444444444445,0.6,0.5652173913043478
base,7_append_1000_high_density_unicode_chars,unicode_noise,288,0.5173611111111112,0.11458333333333326,0.5384615384615384,0.5111111111111111,0.2,0.5897435897435898,0.5128205128205128,0.11458333333333326,0.5151515151515151,0.2,0.4666666666666667,0.7333333333333333,0.4782608695652174
