model,model_key,condition_type,intervention,split,n,correct,invalid,acc_all,acc_valid_only,delta_acc_all
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,baseline,easy,10560,8962,0,0.8487,0.8487,
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,baseline,hard,10556,8393,0,0.7951,0.7951,
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,baseline,anticommonsense,10392,9053,0,0.8712,0.8712,
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,baseline,noncommonsense,10240,8165,0,0.7974,0.7974,
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,baseline,pooled,41748,34573,0,0.8281,0.8281,
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,67_word_replace,easy,10560,7561,0,0.716,0.716,-0.1327
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,67_word_replace,hard,10556,7306,0,0.6921,0.6921,-0.103
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,67_word_replace,anticommonsense,10392,7437,0,0.7156,0.7156,-0.1555
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,67_word_replace,noncommonsense,10240,7214,0,0.7045,0.7045,-0.0929
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,67_word_replace,pooled,41748,29518,0,0.7071,0.7071,-0.1211
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,68_number_replace,easy,10560,7649,0,0.7243,0.7243,-0.1243
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,68_number_replace,hard,10556,7414,0,0.7023,0.7023,-0.0927
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,68_number_replace,anticommonsense,10392,7670,0,0.7381,0.7381,-0.1331
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,68_number_replace,noncommonsense,10240,7284,0,0.7113,0.7113,-0.086
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,68_number_replace,pooled,41748,30017,0,0.719,0.719,-0.1091
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,81_story_swap,easy,10560,8663,0,0.8204,0.8204,-0.0283
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,81_story_swap,hard,10556,8471,0,0.8025,0.8025,0.0074
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,81_story_swap,anticommonsense,10392,8732,0,0.8403,0.8403,-0.0309
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,81_story_swap,noncommonsense,10240,8148,0,0.7957,0.7957,-0.0017
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,81_story_swap,pooled,41748,34014,0,0.8147,0.8147,-0.0134
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,86_nonsense_replace,easy,10560,7641,0,0.7236,0.7236,-0.1251
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,86_nonsense_replace,hard,10556,7427,0,0.7036,0.7036,-0.0915
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,86_nonsense_replace,anticommonsense,10392,7626,0,0.7338,0.7338,-0.1373
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,86_nonsense_replace,noncommonsense,10240,7345,0,0.7173,0.7173,-0.0801
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,86_nonsense_replace,pooled,41748,30039,0,0.7195,0.7195,-0.1086
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,94_drop_background,easy,10560,8258,0,0.782,0.782,-0.0667
Qwen2.5-3B LoRA,qwen3b_n2000_lora,finetuned,94_drop_background,hard,10556,7756,0,0.7347,0.7347,-0.0603
