model,intervention,label,n,acc,acc_drop,acc_ate,acc_backadj,acc_collider_bias,acc_correlation,acc_det-counterfactual,acc_drop,acc_ett,acc_exp_away,acc_marginal,acc_nde,acc_nie
base,original,original,288,0.5416666666666666,0.0,0.5128205128205128,0.7111111111111111,0.2,0.5384615384615384,0.5384615384615384,0.0,0.48484848484848486,0.4,0.4444444444444444,0.8,0.4782608695652174
base,13_remove_every_other_word,del_alt_words,288,0.46875,0.07291666666666663,0.358974358974359,0.4444444444444444,0.2,0.6410256410256411,0.41025641025641024,0.07291666666666663,0.5757575757575758,0.6,0.37777777777777777,0.4,0.6086956521739131
base,1_insert_spaces_between_chars_without_whitespace,char_spaces,288,0.4756944444444444,0.06597222222222221,0.358974358974359,0.4888888888888889,0.2,0.5128205128205128,0.4358974358974359,0.06597222222222221,0.6060606060606061,0.6,0.5111111111111111,0.4666666666666667,0.43478260869565216
base,22_insert_incorrect_answer_once_per_sentence,insert_wrong_ans,288,0.3784722222222222,0.16319444444444442,0.358974358974359,0.5111111111111111,0.4,0.4358974358974359,0.41025641025641024,0.16319444444444442,0.48484848484848486,0.2,0.24444444444444444,0.4,0.13043478260869565
base,33_insert_rare_emoji_blocks,emoji_blocks,288,0.4548611111111111,0.08680555555555552,0.358974358974359,0.5333333333333333,0.2,0.5128205128205128,0.41025641025641024,0.08680555555555552,0.5151515151515151,0.6,0.4,0.4666666666666667,0.4782608695652174
base,34_polarity_decrease_to_not_decrease_flip,polarity_not_dec,288,0.5243055555555556,0.01736111111111105,0.6410256410256411,0.4666666666666667,0.8,0.48717948717948717,0.46153846153846156,0.01736111111111105,0.45454545454545453,0.4,0.6,0.5333333333333333,0.5217391304347826
base,35_polarity_decrease_to_increase_flip,polarity_increase,288,0.5243055555555556,0.01736111111111105,0.8205128205128205,0.4666666666666667,0.8,0.38461538461538464,0.46153846153846156,0.01736111111111105,0.45454545454545453,0.0,0.5111111111111111,0.6,0.6086956521739131
base,37_polarity_decrease_to_not_not_decrease_same,polarity_notnot,288,0.4965277777777778,0.04513888888888884,0.358974358974359,0.5777777777777777,0.2,0.48717948717948717,0.5384615384615384,0.04513888888888884,0.696969696969697,0.6,0.4222222222222222,0.4,0.4782608695652174
base,62_intervention_word_order,shuffle_words,288,0.4756944444444444,0.06597222222222221,0.46153846153846156,0.5777777777777777,0.2,0.5384615384615384,0.41025641025641024,0.06597222222222221,0.45454545454545453,0.4,0.4,0.6,0.4782608695652174
base,66_set_percentages_to_x,mask_numbers,288,0.5069444444444444,0.03472222222222221,0.3333333333333333,0.6666666666666666,0.4,0.5384615384615384,0.6410256410256411,0.03472222222222221,0.5151515151515151,0.6,0.4222222222222222,0.4666666666666667,0.391304347826087
