example_idx,question_id,query_type,gold,pred,pos,token,saliency
0,11856,ate,yes,yes,0,<|im_start|>,0.013794
0,11856,ate,yes,yes,1,system,0.000755
0,11856,ate,yes,yes,2,Ċ,0.001274
0,11856,ate,yes,yes,3,Answer,0.012878
0,11856,ate,yes,yes,4,Ġwith,0.017090
0,11856,ate,yes,yes,5,Ġonly,0.018188
0,11856,ate,yes,yes,6,Ġ',0.051758
0,11856,ate,yes,yes,7,yes,0.038574
0,11856,ate,yes,yes,8,',0.002151
0,11856,ate,yes,yes,9,Ġor,0.069336
0,11856,ate,yes,yes,10,Ġ',0.002090
0,11856,ate,yes,yes,11,no,0.172852
0,11856,ate,yes,yes,12,'.,0.018799
0,11856,ate,yes,yes,13,ĠNo,0.019165
0,11856,ate,yes,yes,14,Ġexplanation,0.013672
0,11856,ate,yes,yes,15,.,0.030273
0,11856,ate,yes,yes,16,ĠNo,0.012756
0,11856,ate,yes,yes,17,Ġpunctuation,0.032471
0,11856,ate,yes,yes,18,.,0.041016
0,11856,ate,yes,yes,19,<|im_end|>,0.005066
0,11856,ate,yes,yes,20,Ċ,0.009644
0,11856,ate,yes,yes,21,<|im_start|>,0.000546
0,11856,ate,yes,yes,22,user,0.011536
0,11856,ate,yes,yes,23,Ċ,0.009277
0,11856,ate,yes,yes,24,Imagine,0.003265
0,11856,ate,yes,yes,25,Ġa,0.001671
0,11856,ate,yes,yes,26,Ġself,0.005585
0,11856,ate,yes,yes,27,-contained,0.002365
0,11856,ate,yes,yes,28,",",0.000128
0,11856,ate,yes,yes,29,Ġhypothetical,0.001450
0,11856,ate,yes,yes,30,Ġworld,0.004211
0,11856,ate,yes,yes,31,Ġwith,0.002625
0,11856,ate,yes,yes,32,Ġonly,0.005798
0,11856,ate,yes,yes,33,Ġthe,0.001617
0,11856,ate,yes,yes,34,Ġfollowing,0.006073
0,11856,ate,yes,yes,35,Ġconditions,0.001755
0,11856,ate,yes,yes,36,",",0.005219
0,11856,ate,yes,yes,37,Ġand,0.000031
0,11856,ate,yes,yes,38,Ġwithout,0.003052
0,11856,ate,yes,yes,39,Ġany,0.001198
0,11856,ate,yes,yes,40,Ġun,0.000315
0,11856,ate,yes,yes,41,mentioned,0.013672
0,11856,ate,yes,yes,42,Ġfactors,0.004028
0,11856,ate,yes,yes,43,Ġor,0.000380
0,11856,ate,yes,yes,44,Ġcausal,0.005829
0,11856,ate,yes,yes,45,Ġrelationships,0.004730
0,11856,ate,yes,yes,46,:,0.003357
0,11856,ate,yes,yes,47,ĠSmoking,0.004883
0,11856,ate,yes,yes,48,Ġhas,0.001999
0,11856,ate,yes,yes,49,Ġa,0.001221
0,11856,ate,yes,yes,50,Ġdirect,0.001572
0,11856,ate,yes,yes,51,Ġeffect,0.005493
0,11856,ate,yes,yes,52,Ġon,0.003510
0,11856,ate,yes,yes,53,Ġtar,0.006531
0,11856,ate,yes,yes,54,Ġdeposit,0.005768
0,11856,ate,yes,yes,55,.,0.005310
0,11856,ate,yes,yes,56,ĠTar,0.002151
0,11856,ate,yes,yes,57,Ġdeposit,0.001015
0,11856,ate,yes,yes,58,Ġhas,0.000265
