example_idx,question_id,query_type,gold,pred,pos,token,saliency
0,11856,ate,yes,yes,0,<|im_start|>,0.005310
0,11856,ate,yes,yes,1,system,0.025391
0,11856,ate,yes,yes,2,Ċ,0.040527
0,11856,ate,yes,yes,3,Answer,0.073730
0,11856,ate,yes,yes,4,Ġwith,0.016357
0,11856,ate,yes,yes,5,Ġonly,0.012268
0,11856,ate,yes,yes,6,Ġ',0.000288
0,11856,ate,yes,yes,7,yes,0.171875
0,11856,ate,yes,yes,8,',0.001007
0,11856,ate,yes,yes,9,Ġor,0.008423
0,11856,ate,yes,yes,10,Ġ',0.018066
0,11856,ate,yes,yes,11,no,0.023315
0,11856,ate,yes,yes,12,'.,0.039551
0,11856,ate,yes,yes,13,ĠNo,0.028442
0,11856,ate,yes,yes,14,Ġexplanation,0.004791
0,11856,ate,yes,yes,15,.,0.004425
0,11856,ate,yes,yes,16,ĠNo,0.002716
0,11856,ate,yes,yes,17,Ġpunctuation,0.001480
0,11856,ate,yes,yes,18,.,0.003998
0,11856,ate,yes,yes,19,<|im_end|>,0.002213
0,11856,ate,yes,yes,20,Ċ,0.002640
0,11856,ate,yes,yes,21,<|im_start|>,0.000446
0,11856,ate,yes,yes,22,user,0.001503
0,11856,ate,yes,yes,23,Ċ,0.009399
0,11856,ate,yes,yes,24,Imagine,0.001572
0,11856,ate,yes,yes,25,Ġa,0.004150
0,11856,ate,yes,yes,26,Ġself,0.001747
0,11856,ate,yes,yes,27,-contained,0.005554
0,11856,ate,yes,yes,28,",",0.001663
0,11856,ate,yes,yes,29,Ġhypothetical,0.005402
0,11856,ate,yes,yes,30,Ġworld,0.013367
0,11856,ate,yes,yes,31,Ġwith,0.001595
0,11856,ate,yes,yes,32,Ġonly,0.000194
0,11856,ate,yes,yes,33,Ġthe,0.000870
0,11856,ate,yes,yes,34,Ġfollowing,0.004608
0,11856,ate,yes,yes,35,Ġconditions,0.003555
0,11856,ate,yes,yes,36,",",0.000469
0,11856,ate,yes,yes,37,Ġand,0.003265
0,11856,ate,yes,yes,38,Ġwithout,0.003006
0,11856,ate,yes,yes,39,Ġany,0.001778
0,11856,ate,yes,yes,40,Ġun,0.000904
0,11856,ate,yes,yes,41,mentioned,0.005249
0,11856,ate,yes,yes,42,Ġfactors,0.004364
0,11856,ate,yes,yes,43,Ġor,0.003311
0,11856,ate,yes,yes,44,Ġcausal,0.002930
0,11856,ate,yes,yes,45,Ġrelationships,0.008179
